,Q14_hrs_all_jobs,Q2_Health,Q49_gender,Q50_age,Q3_Income_vs_5yr_ago,avg_hours_worked,avg_hours_worked_men,avg_hours_worked_women,Q4_Income_vs_5yr_fut,Q11_why_other_job,Q33_have_right_edu,Q62_ever_incarcerated,Q64_personal_income_cleaned,Q65_household_income_cleaned,statename,region
5799,83,3,1,39,3,37.7,40,35,3,,1,0,39000,39000,California,West Region
5800,40,4,2,48,2,40,42.9,36.5,2,,1,0,,,Kentucky,South Region
5802,45,5,1,35,2,38.9,41.4,36.2,3,,1,0,75000,125000,Kansas,Midwest Region
5803,40,4,2,29,3,38.2,40.4,35.9,1,,1,0,55000,55000,Connecticut,Northeast Region
5804,45,4,1,46,3,37.7,40,35,3,,1,0,125000,175000,California,West Region
5807,8,3,1,34,3,38.8,40.8,36.8,2,,0,0,65000,110000,Pennsylvania,Northeast Region
5809,40,3,1,30,3,37.9,39.6,35.9,2,2,1,0,5000,30000,California,West Region
5810,60,4,2,47,3,39,40.8,37.1,3,2,0,0,80000,180000,Arkansas,South Region
5811,56,5,1,68,2,39.3,41.4,36.8,2,,0,1,70000,100000,Hawaii,West Region
5812,40,3,2,31,3,39.8,42.2,37.3,3,,1,0,46000,46000,North Carolina,South Region
5813,44,5,1,53,3,38.6,40.9,35.7,3,,1,0,130000,150000,California,West Region
5814,60,4,1,55,2,37.8,40,35.5,2,,1,0,168000,168000,Ohio,Midwest Region
5816,30,5,1,35,2,38.5,40.5,36.4,3,,1,0,26000,100000,Ohio,Midwest Region
5817,40,4,1,56,3,35.4,36.9,33.7,3,,1,0,,,Kansas,Midwest Region
5818,35,3,1,64,2,38.6,41.6,35.1,2,4,1,0,,,Oregon,West Region
5819,20,3,2,50,3,36.1,39,33,2,,1,0,,,California,West Region
5821,0,4,1,62,2,39.1,41.6,36.1,2,,1,0,100000,250000,Texas,South Region
5822,15,4,1,24,3,34.7,37.2,32.1,3,4,1,0,8000,50000,Oregon,West Region
5823,45,4,2,54,3,38.8,40.9,36.4,3,,1,0,75000,425000,Washington,West Region
5825,45,3,2,34,3,38.5,41.3,35.5,3,,1,0,82500,155000,Massachusetts,Northeast Region
5826,60,4,1,51,2,38.6,40.3,37,3,,1,0,180000,280000,Indiana,Midwest Region
5828,30,3,3,25,2,37,39,35,3,1,1,0,20000,20000,Minnesota,Midwest Region
5829,40,2,2,27,3,37.4,39.9,35,3,,1,0,25000,25000,Georgia,South Region
5830,40,5,2,32,3,35.7,38.7,32.5,3,,1,0,70000,150000,Washington,West Region
5831,65,1,1,46,3,37.8,39.7,35.8,3,1,1,0,45000,65000,Ohio,Midwest Region
5833,40,4,1,38,3,37.5,40.9,33.6,3,4,1,0,70000,80000,Pennsylvania,Northeast Region
5834,5,4,2,58,3,38.1,41.2,34.6,2,,1,0,,,Connecticut,Northeast Region
5835,48,3,1,48,3,37.9,39.6,35.9,3,,1,0,140000,160000,California,West Region
5836,48,3,1,30,3,37.6,39.7,34.9,3,,0,0,28000,84000,California,West Region
5837,40,5,1,36,3,39,41.8,35.9,3,,1,0,71500,71500,Pennsylvania,Northeast Region
5838,40,3,2,57,3,39.7,41.4,37.7,3,,1,0,40000,80000,Colorado,West Region
5843,40,2,2,53,3,38.8,40.9,36.4,2,,1,0,150000,150000,Washington,West Region
5844,40,4,1,63,3,39.3,41.7,36.6,3,,1,0,100000,117000,Oklahoma,South Region
5845,70,2,1,45,3,38.8,41.1,36.3,3,,0,0,100000,100000,New Jersey,Northeast Region
5846,50,4,1,59,3,37.4,39.2,35.5,2,,1,0,110000,160000,California,West Region
5847,40,4,1,52,2,38,40.6,35.1,2,,1,0,100000,100000,California,West Region
5848,36,3,1,24,2,37.9,39.6,35.9,3,1,0,0,0,3000,California,West Region
5850,32,2,1,39,1,39.5,41.8,37,2,,0,1,14000,50000,North Carolina,South Region
5851,44,3,1,34,3,38.9,41,36.5,3,2,1,0,50000,50000,Georgia,South Region
5853,40,3,2,59,3,37.9,39.6,35.9,1,4,1,0,75000,75000,California,West Region
5854,40,3,2,55,3,39.2,41.1,37.2,3,,1,0,,,Florida,South Region
5855,24,4,2,67,2,40.8,44.4,36.5,2,,1,0,5000,70000,Nebraska,Midwest Region
5856,60,3,2,47,3,35.6,34.4,37.4,3,,1,0,50000,50000,Nebraska,Midwest Region
5857,40,4,2,41,3,37.7,40.1,35.2,3,,1,0,150000,150000,Nebraska,Midwest Region
5859,30,4,2,,3,38.7,41.4,36,1,,1,0,,,Florida,South Region
5860,38,4,2,47,3,34.9,36.7,33.1,3,,1,0,78000,138000,New York,Northeast Region
5861,40,4,2,66,3,39.1,41,37.2,2,,1,0,0,0,Tennessee,South Region
5862,36,5,1,29,3,40.1,42.8,36.4,3,,1,0,38000,38000,California,West Region
