,Q14_hrs_all_jobs,Q2_Health,Q49_gender,Q50_age,Q3_Income_vs_5yr_ago,avg_hours_worked,avg_hours_worked_men,avg_hours_worked_women,Q4_Income_vs_5yr_fut,Q11_why_other_job,Q33_have_right_edu,Q62_ever_incarcerated,Q64_personal_income_cleaned,Q65_household_income_cleaned,statename,region
2088,45,3,1,53,2,38.1,39.8,36.3,2,2,1,0,67500,100000,Hawaii,West Region
2089,,4,1,73,3,38.9,41.1,36.9,1,,,0,46000,66000,Virginia,South Region
2090,35,3,2,50,3,38.6,40.3,37,3,,1,0,52000,52000,Indiana,Midwest Region
2091,40,2,2,56,2,37.8,40.5,35,2,,1,0,39000,86000,Ohio,Midwest Region
2092,,3,1,58,1,37.8,40.5,35,3,,,1,0,0,Ohio,Midwest Region
2093,,4,2,71,2,38.5,40.5,36.4,2,,,0,0,,Ohio,Midwest Region
2094,40,2,,,3,38.7,41.3,35.8,2,,,1,0,90000,Maryland,South Region
2095,,2,1,82,2,39.2,41.4,36.8,2,,,0,0,16938,Maryland,South Region
2096,60,4,2,60,2,38.3,40.3,36.2,2,4,1,0,120000,130000,Minnesota,Midwest Region
2097,40,5,2,61,3,37.7,40.4,35,2,,1,0,49000,101000,Minnesota,Midwest Region
2098,,4,2,77,2,38.9,41,36.4,1,,,0,0,107000,Maryland,South Region
2099,46,3,2,59,3,37.4,40.3,34.4,2,,1,0,60000,60000,Massachusetts,Northeast Region
2100,,3,2,72,3,38.3,40.3,36.2,3,,,0,0,25000,Florida,South Region
2101,40,5,2,45,3,37.9,40,36,3,,,0,23000,23000,Georgia,South Region
2102,,4,2,62,1,38.3,40.3,36.2,2,,,0,0,30000,Delaware,South Region
2103,12,3,1,69,3,40.1,41.5,38.9,3,1,0,1,0,800,District of Columbia,South Region
2104,,4,2,64,1,39.4,42,36.6,2,,,0,32000,90000,South Carolina,South Region
2105,,3,1,75,2,39.4,41.2,37.3,2,,,0,50000,200000,New Jersey,Northeast Region
2106,,4,1,55,3,39.1,41.4,36.9,3,,,0,85000,105000,Alabama,South Region
2107,40,3,2,50,3,38.4,41.5,34.9,2,,1,0,35000,120000,Ohio,Midwest Region
2108,40,3,2,58,3,40,42.6,37.1,2,,1,0,46000,,Alabama,South Region
2109,30,3,2,59,3,37.9,40.3,35.3,1,,1,0,40000,90000,Indiana,Midwest Region
2110,,2,2,0,1,38.1,40.3,35.9,2,,,0,,,New Jersey,Northeast Region
2111,,4,2,75,1,39.1,42.1,35.6,1,,,0,0,12924.72,Indiana,Midwest Region
2112,50,4,1,34,3,39.8,41.8,37.4,3,4,1,0,60000,100000,Texas,South Region
2113,,1,2,59,1,38.7,41.5,35.5,2,,,0,0,,Illinois,Midwest Region
2114,,3,2,,2,38.6,40.5,36.5,1,,,0,,,Illinois,Midwest Region
2115,,4,2,60,3,37.8,39.6,35.9,2,,,0,48000,100000,Wisconsin,Midwest Region
2116,47,4,1,62,3,37.3,39.7,34.7,1,,1,0,47000,50000,Michigan,Midwest Region
2117,40,1,1,60,2,37.8,40.7,34.7,1,,1,0,75000,115000,Wisconsin,Midwest Region
2118,50,2,2,66,1,38.6,40.5,36.5,2,1,1,0,10000,55000,Illinois,Midwest Region
2119,,3,2,84,2,40,43,36.6,2,,,0,0,7200,Georgia,South Region
2120,,4,2,58,3,39,42.8,34.6,2,,,0,,,Michigan,Midwest Region
2121,,3,1,58,3,39,41.2,36.6,3,,,0,0,0,New Jersey,Northeast Region
2122,,3,2,83,1,37,39,35,2,,,0,,,Minnesota,Midwest Region
2123,,3,1,71,2,37,39,35,3,,,1,0,81680,Minnesota,Midwest Region
2124,45,5,2,36,3,36.8,39.7,33.9,3,2,1,0,90000,140000,Wisconsin,Midwest Region
2125,,5,2,78,1,37.5,40.4,34.1,1,,,0,0,18000,Montana,West Region
2126,,4,2,75,2,38.9,41.4,36,1,,,0,20000,100000,New Jersey,Northeast Region
2127,37,2,2,59,1,39.2,42.3,35.8,2,,1,0,50000,120000,New Jersey,Northeast Region
2128,23,3,2,53,3,37,39,35,1,,1,0,0,89000,Minnesota,Midwest Region
2129,50,4,2,45,2,37,39,35,2,1,1,0,68500,68500,Minnesota,Midwest Region
2130,,4,2,77,2,39.2,41.5,36.7,2,,,0,0,50000,Missouri,Midwest Region
2131,40,4,2,35,3,37.4,39.6,35.1,3,,1,0,,,New York,Northeast Region
2132,60,4,1,51,3,37.9,40.5,35,3,,1,0,60000,80000,Pennsylvania,Northeast Region
2133,45,3,2,34,3,37.7,39.7,35.5,3,,1,0,60000,60000,New York,Northeast Region
2134,46,4,2,35,2,38.4,39.9,36.6,3,,0,0,55000,95000,Nevada,West Region
2135,50,3,1,70,2,38.6,40.6,36.2,1,,1,0,150000,150000,California,West Region
2136,40,3,2,63,3,41.6,44.2,38.2,1,,0,0,29000,70000,Oklahoma,South Region
2137,,2,2,54,1,41.9,46.7,36.5,3,,,0,75000,75000,Kansas,Midwest Region
2138,,5,,21,3,38.4,40.1,36.3,3,,,0,20000,20000,Georgia,South Region
2139,38,2,1,35,1,37.6,40.6,34.6,3,,0,0,15000,35000,Wisconsin,Midwest Region
2140,65,4,2,22,3,39.8,43.2,36.2,3,1,1,0,24000,64000,Louisiana,South Region
2141,45,4,1,42,3,37.9,40.8,34.9,3,,1,0,88000,148000,Massachusetts,Northeast Region
2142,30,4,1,62,3,37,39.7,34.2,2,,1,0,80000,80000,California,West Region
2143,,2,2,64,1,38.6,40.8,36.3,1,,,0,1500,1500,Minnesota,Midwest Region
2144,20,3,2,61,1,40.4,42.9,37.2,1,,1,0,,,Virginia,South Region
2145,,4,2,67,2,39.8,42.1,37.2,2,,,0,40000,140000,Indiana,Midwest Region
